Disease ID	Name	Mnemonic	Description
DI-04240	2,4-dienoyl-CoA reductase deficiency	DECRD	A rare, autosomal recessive, inborn error of polyunsaturated fatty acids and lysine metabolism, resulting in mitochondrial dysfunction. Affected individuals have a severe encephalopathy with neurologic and metabolic abnormalities beginning in early infancy. Laboratory studies show increased C10:2 carnitine levels and hyperlysinemia.
DI-03673	2-aminoadipic 2-oxoadipic aciduria	AMOXAD	A metabolic disorder characterized by increased levels of 2-oxoadipate and 2-hydroxyadipate in the urine, and elevated 2-aminoadipate in the plasma. Patients can have mild to severe intellectual disability, muscular hypotonia, developmental delay, ataxia, and epilepsy. Most cases are asymptomatic.
DI-00001	2-methyl-3-hydroxybutyryl-CoA dehydrogenase deficiency	MHBD deficiency	A disorder that leads to neurological abnormalities, including psychomotor retardation and, in virtually all patients, loss of mental and motor skills.
DI-00002	3-alpha-hydroxyacyl-CoA dehydrogenase deficiency	HADH deficiency	A metabolic disorder with various clinical presentations including hypoglycemia, hepatoencephalopathy, myopathy or cardiomyopathy, and in some cases sudden death.
DI-00003	3-hydroxy-3-methylglutaryl-CoA lyase deficiency	HMGCLD	An autosomal recessive disease affecting ketogenesis and L-leucine catabolism. The disease usually appears in the first year of life after a fasting period and its clinical acute symptoms include vomiting, seizures, metabolic acidosis, hypoketotic hypoglycemia and lethargy. These symptoms sometimes progress to coma, with fatal outcome in some cases.
DI-01751	3-hydroxy-3-methylglutaryl-CoA synthase-2 deficiency	HMGCS2D	A metabolic disorder characterized by severe hypoketotic hypoglycemia, encephalopathy, and hepatomegaly.
DI-01740	3-hydroxyisobutryl-CoA hydrolase deficiency	HIBCHD	An autosomal recessive inborn error of valine metabolism. It causes severely delayed psychomotor development, neurodegeneration, increased lactic acid, and brain lesions in the basal ganglia.
DI-00009	3-ketothiolase deficiency	3KTD	An inborn error of isoleucine catabolism characterized by intermittent ketoacidotic attacks associated with unconsciousness. Some patients die during an attack or are mentally retarded. Urinary excretion of 2-methyl-3-hydroxybutyric acid, 2-methylacetoacetic acid, triglylglycine, butanone is increased. It seems likely that the severity of this disease correlates better with the environmental or acquired factors than with the ACAT1 genotype.
DI-00011	3M syndrome 1	3M1	An autosomal recessive disorder characterized by severe pre- and postnatal growth retardation, facial dysmorphism, large head circumference, and normal intelligence and endocrine function. Skeletal changes include long slender tubular bones and tall vertebral bodies.
DI-02472	3M syndrome 2	3M2	An autosomal recessive disorder characterized by severe pre- and postnatal growth retardation, facial dysmorphism, large head circumference, and normal intelligence and endocrine function. Skeletal changes include long slender tubular bones and tall vertebral bodies.
DI-03220	3M syndrome 3	3M3	A disorder characterized by poor postnatal growth and distinctive facial features, including triangular facies, frontal bossing, fleshy tipped nose, and fleshy lips. Other features may include skeletal anomalies and prominent heels.
DI-03129	3MC syndrome 1	3MC1	A disorder characterized by facial dysmorphism that includes hypertelorism, blepharophimosis, blepharoptosis and highly arched eyebrows, cleft lip and/or palate, craniosynostosis, learning disability and genital, limb and vesicorenal anomalies. The term 3MC syndrome includes Carnevale, Mingarelli, Malpuech, and Michels syndromes.
DI-03130	3MC syndrome 2	3MC2	A disorder characterized by facial dysmorphism that includes hypertelorism, blepharophimosis, blepharoptosis and highly arched eyebrows, cleft lip and/or palate, craniosynostosis, learning disability and genital, limb and vesicorenal anomalies. The term 3MC syndrome includes Carnevale, Mingarelli, Malpuech, and Michels syndromes.
DI-00742	3-methylcrotonoyl-CoA carboxylase 1 deficiency	MCC1D	An autosomal recessive disorder of leucine catabolism. The phenotype is variable, ranging from neonatal onset with severe neurological involvement to asymptomatic adults. There is a characteristic organic aciduria with massive excretion of 3-hydroxyisovaleric acid and 3-methylcrotonylglycine, usually in combination with a severe secondary carnitine deficiency.
DI-00743	3-methylcrotonoyl-CoA carboxylase 2 deficiency	MCC2D	An autosomal recessive disorder of leucine catabolism. The phenotype is variable, ranging from neonatal onset with severe neurological involvement to asymptomatic adults. There is a characteristic organic aciduria with massive excretion of 3-hydroxyisovaleric acid and 3-methylcrotonylglycine, usually in combination with a severe secondary carnitine deficiency.
DI-00004	3-methylglutaconic aciduria 1	MGA1	An inborn error of leucine metabolism. It leads to an autosomal recessive syndrome with variable clinical phenotype, ranging from delayed speech development to severe psychomotor retardation, coma, failure to thrive, metabolic acidosis and dystonia. MGA1 can be distinguished from other forms of MGA by the pattern of metabolite excretion: 3-methylglutaconic acid levels are higher than those detected in other forms, whereas methylglutaric acid levels are usually only slightly elevated and there is a high level of 3-hydroxyisovaleric acid excretion (not present in other MGA forms).
DI-00006	3-methylglutaconic aciduria 3	MGA3	A metabolic disorder that causes a neuro-ophthalmologic syndrome consisting of early-onset bilateral optic atrophy, spasticity, extrapyramidal dysfunction and cognitive deficit. Urinary excretion of 3-methylglutaconic acid and 3-methylglutaric acid is increased. MGA3 can be distinguished from MGA1 by the absence of increase of 3-hydroxyisovaleric acid levels.
DI-00007	3-methylglutaconic aciduria 5	MGA5	An autosomal recessive disorder characterized by early-onset dilated cardiomyopathy, growth failure, cerebellar ataxia causing significant motor delays, testicular dysgenesis, growth failure and significant increases in urine organic acids, particularly 3-methylglutaconic acid and 3-methylglutaric acid.
DI-04904	3-methylglutaconic aciduria 8	MGCA8	An autosomal recessive inborn error of metabolism resulting in early death. Clinical features include extreme hypertonia observed at birth, alternating with hypotonia, subsequent appearance of extrapyramidal symptoms, lack of psychomotor development, microcephaly, and intractable seizures. Patients show lactic acidemia, 3-methylglutaconic aciduria, intermittent neutropenia, and progressive brain atrophy.
